Film,Alt Titles,Language,Date,Country,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,Misc
Yizkor,,Yiddish,1933,US,Yankev Mestel,Actor,Wolf Zilberberg,Actor,Mark Schweid,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maurice Schwartz,Actor,Bertha Gersten,Actor,,,,,,,,,,,,,
Zayn vaybs man,,Yiddish,1916,Poland,Isaac Samberg,Actor,Ida Kaminska,Actor,Helena Gotlib,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everything You Always Wanted to Know About Sex* But Were Afraid to Ask,,English,1972,US,Baruch Lumet,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woody Allen,Director,Lynn Redgrave,Actor,Burt Reynolds,Actor,Gene Wilder,Actor,,,,,,,,,
The Wild Party,,English,1975,US,Baruch Lumet,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Group,,English,1966,US,Baruch Lumet,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sidney Lumet,Director,,,,,,,,,,,,,,,
The Pawnbroker,,English,1965,US,Baruch Lumet,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sidney Lumet,Director,Morgan Freeman,Actor,,,,,,,,,,,,,
The Interns,,English,1962,US,Baruch Lumet,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Banner,Performed with,,,,,,,,,,,,,,,
Hemingway's Adventures of a Young Man,,English,1962,US,Baruch Lumet,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin Ritt,Director,Paul Newman,Actor,Susan Strasberg,Actor,Eli Wallach,Actor,,,,,,,,,
…One Third of a Nation…,,English,1939,US,Baruch Lumet,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sidney Lumet,Actor,Sylvia Sidney,Actor,,,,,,,,,,,,,
Beyond the Time Barrier,,English,1960,US,Baruch Lumet,Casting Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sidney Lumet,Casting Director,Edgar G. Ulmer,Director,,,,,,,,,,,,,
